message_id,timestamp,sender_name,is_self,type,content,media_filename,media_subdir
msg_20250315_001,2025-03-15T09:12:34+08:00,TA,0,text,早上好呀～今天天气真好,, 
msg_20250315_002,2025-03-15T09:13:01+08:00,我,1,text,早安！昨晚睡得怎么样？,,
msg_20250315_003,2025-03-15T09:15:22+08:00,TA,0,image,,IMG_20250315_091522.jpg,images
msg_20250315_004,2025-03-15T09:16:05+08:00,我,1,text,哈哈这张照片拍得真可爱！,,
msg_20250315_005,2025-03-15T12:40:18+08:00,TA,0,voice,,voice_20250315_124018.amr,voice
msg_20250315_006,2025-03-15T14:22:50+08:00,我,1,sticker,,sticker_heart.png,stickers
msg_20250315_007,2025-03-15T18:05:33+08:00,TA,0,text,今天加班好累啊……想你了,,
msg_20250315_008,2025-03-15T20:33:12+08:00,我,1,image,,IMG_20250315_203312.jpg,images
msg_20250316_001,2025-03-16T08:55:41+08:00,TA,0,text,起床啦宝贝！,,
msg_20250316_002,2025-03-16T10:10:00+08:00,我,1,video,,VID_20250316_101000.mp4,videos
msg_20250322_001,2025-03-22T21:45:00+08:00,TA,0,text,我们去三亚玩的时候拍的这张照片好好看,,
msg_20250322_002,2025-03-22T21:46:12+08:00,我,1,text,是啊，那天夕阳真的绝了,,
msg_20250322_003,2025-03-22T21:47:30+08:00,TA,0,image,,sanya_sunset.jpg,images
